Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg_SoS,ORtg_SoS,DRtg_SoS,NetRtg_NCOS
224,Navy,Pat,19-11,-5.20,98.7,103.9,68.7,+.042,-9.11,96.5,105.6,-7.18
225,Arkansas St.,SB,13-17,-5.23,95.9,101.1,64.3,-.069,-3.42,102.0,105.5,-0.01
226,Valparaiso,Horz,9-22,-5.27,99.7,105.0,63.2,-.074,+3.85,103.8,100.0,+5.71
227,Southern Utah,Sum,11-20,-5.39,102.1,107.5,62.7,-.048,+0.06,104.5,104.4,+3.44
228,Georgia St.,CAA,12-20,-5.60,98.7,104.3,60.1,-.031,-0.08,102.0,102.0,-0.79
229,Loyola Chicago,Horz,14-18,-5.69,99.9,105.6,63.8,+.046,-0.50,101.6,102.1,-6.04
230,Air Force,MWC,10-21,-5.70,98.6,104.3,57.8,-.090,+2.30,104.9,102.6,-12.06
231,McNeese St.,Slnd,11-18,-5.88,94.1,100.0,64.8,-.088,-3.45,100.7,104.1,-1.13
232,Gardner Webb,BSth,13-17,-5.90,101.6,107.5,68.5,-.050,-3.32,101.4,104.8,+10.36
233,Chicago St.,ind,19-13,-6.02,106.0,112.0,74.2,+.015,-10.50,96.7,107.2,-2.74
234,William & Mary,CAA,10-20,-6.08,96.5,102.5,60.9,-.094,-1.72,102.0,103.8,-5.49
235,Rice,CUSA,10-22,-6.10,100.4,106.5,63.5,+.010,+3.12,105.6,102.5,+1.80
236,Montana St.,BSky,15-17,-6.11,100.9,107.0,64.8,+.058,-0.69,103.4,104.1,+3.27
237,Canisius,MAAC,11-20,-6.13,93.9,100.0,66.5,-.018,-0.64,101.6,102.2,-0.32
238,Tennessee Tech,OVC,12-18,-6.35,98.1,104.4,71.4,-.078,-3.40,103.0,106.4,-1.05
239,Northern Arizona,BSky,8-19,-6.47,101.8,108.3,62.2,-.132,+0.28,104.3,104.0,+9.85
240,Ball St.,MAC,14-17,-6.50,95.2,101.7,60.6,+.026,-4.45,99.0,103.5,-2.20
